epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.36,2.12331,4.75651,1.6684,0.00258,0.30491,0.01522,0.00798,1.99194,4.53485,1.56564,0.000273522,0.000273522,0.000273522
2,291.386,1.98569,3.95312,1.58566,0.69686,0.03624,0.03806,0.01678,2.08486,4.03131,1.74084,0.000545732,0.000545732,0.000545732
3,434.459,1.94627,3.612,1.60907,0.80158,0.06107,0.06191,0.03345,1.97002,3.74502,1.72877,0.000812444,0.000812444,0.000812444
4,574.833,1.91701,3.38979,1.61987,0.491,0.14174,0.08745,0.04431,1.97318,3.29608,1.72251,0.00080826,0.00080826,0.00080826
5,715.098,1.92346,3.18379,1.64583,0.57449,0.1068,0.05948,0.02793,2.11494,4.30933,1.80723,0.000800013,0.000800013,0.000800013
6,855.885,1.86425,3.05528,1.58747,0.63766,0.11231,0.10324,0.05759,1.97644,3.12676,1.74059,0.000791767,0.000791767,0.000791767
7,1010.02,1.81806,2.81634,1.54743,0.52858,0.11758,0.10381,0.05533,1.9327,3.10588,1.69015,0.00078352,0.00078352,0.00078352
8,1152.79,1.82819,2.87983,1.57667,0.48222,0.1836,0.15442,0.08199,1.90287,2.8615,1.67543,0.000775273,0.000775273,0.000775273
9,1293.78,1.7749,2.7214,1.53053,0.35578,0.14825,0.14598,0.08006,1.89629,2.89408,1.70122,0.000767026,0.000767026,0.000767026
10,1444.05,1.74793,2.63566,1.52557,0.47984,0.14253,0.11744,0.06757,1.94246,2.93478,1.662,0.00075878,0.00075878,0.00075878
11,1585.58,1.72437,2.53512,1.49949,0.67495,0.13352,0.15413,0.07464,1.92054,2.76799,1.60254,0.000750533,0.000750533,0.000750533
12,1727.84,1.71504,2.43634,1.50102,0.55331,0.16999,0.17281,0.09529,1.79954,2.58076,1.6294,0.000742286,0.000742286,0.000742286
13,1868.64,1.74251,2.45698,1.51732,0.36791,0.19969,0.14649,0.08304,1.92039,2.71817,1.69117,0.00073404,0.00073404,0.00073404
14,2009.74,1.68797,2.35989,1.48978,0.66304,0.15168,0.1847,0.10327,1.82764,2.54572,1.60281,0.000725793,0.000725793,0.000725793
15,2149.56,1.67164,2.33731,1.46641,0.4517,0.15202,0.15482,0.08558,1.89193,2.58325,1.66229,0.000717546,0.000717546,0.000717546
16,2290.92,1.64696,2.31901,1.46269,0.40214,0.22323,0.16051,0.08655,1.84618,2.63905,1.66228,0.000709299,0.000709299,0.000709299
17,2430.27,1.64511,2.22247,1.44342,0.69372,0.14287,0.16742,0.09215,1.87719,2.69121,1.58129,0.000701053,0.000701053,0.000701053
18,2569.52,1.63097,2.19364,1.43759,0.58282,0.16734,0.21381,0.11589,1.86173,2.53701,1.57605,0.000692806,0.000692806,0.000692806
19,2708.14,1.63388,2.16196,1.44661,0.65092,0.13712,0.17461,0.09981,1.87673,2.57758,1.60698,0.000684559,0.000684559,0.000684559
20,2848.98,1.5868,2.10572,1.42177,0.39208,0.22187,0.19674,0.11282,1.83556,2.4722,1.66203,0.000676313,0.000676313,0.000676313
21,2988.53,1.58915,2.05037,1.41639,0.67549,0.11606,0.16602,0.08814,1.91808,2.56439,1.65287,0.000668066,0.000668066,0.000668066
22,3127.96,1.59105,2.04347,1.43211,0.43378,0.20605,0.20341,0.11123,1.78602,2.48791,1.629,0.000659819,0.000659819,0.000659819
23,3267.46,1.57458,2.02239,1.42154,0.63768,0.17167,0.20951,0.11903,1.86016,2.38369,1.6396,0.000651573,0.000651573,0.000651573
