epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3551,2.14587,4.77481,1.68682,0.0021,0.20523,0.01336,0.00601,1.96406,3.79818,1.68067,0.000273522,0.000273522,0.000273522
2,19.2013,1.94613,3.83231,1.57071,0.69386,0.04515,0.04881,0.02489,2.00791,3.03549,1.68072,0.000545732,0.000545732,0.000545732
3,27.7164,1.89444,3.49228,1.55585,0.59522,0.07651,0.06682,0.03548,2.07141,3.0357,1.84191,0.000812444,0.000812444,0.000812444
4,36.1575,1.9163,3.33596,1.58679,0.53077,0.0925,0.08199,0.04467,1.97922,2.84574,1.72647,0.00080826,0.00080826,0.00080826
5,44.7155,1.87052,3.11393,1.56093,0.77877,0.07731,0.0995,0.05291,1.98562,2.9211,1.74278,0.000800013,0.000800013,0.000800013
6,53.2283,1.85842,2.97544,1.56629,0.56275,0.15963,0.12371,0.06124,1.95088,2.79008,1.73097,0.000791767,0.000791767,0.000791767
7,61.6788,1.8456,2.81842,1.5752,0.65901,0.09315,0.11804,0.06602,1.91451,2.7061,1.75143,0.00078352,0.00078352,0.00078352
8,70.1528,1.77849,2.71887,1.51159,0.69268,0.13862,0.16936,0.08334,1.87776,2.55453,1.61451,0.000775273,0.000775273,0.000775273
9,78.6683,1.7825,2.68616,1.53926,0.5684,0.139,0.16635,0.08689,1.84626,2.49438,1.6762,0.000767026,0.000767026,0.000767026
10,87.2064,1.72086,2.53472,1.48166,0.79553,0.12792,0.17435,0.09897,1.85218,2.46184,1.6017,0.00075878,0.00075878,0.00075878
11,95.7648,1.71223,2.43715,1.49817,0.63305,0.15971,0.16575,0.08974,1.90711,2.69943,1.64146,0.000750533,0.000750533,0.000750533
12,104.858,1.70841,2.40341,1.49403,0.578,0.14959,0.173,0.10184,1.77679,2.39786,1.58651,0.000742286,0.000742286,0.000742286
13,114.033,1.70984,2.38069,1.4908,0.56896,0.13579,0.14819,0.08395,1.84596,2.54598,1.57312,0.00073404,0.00073404,0.00073404
14,123.149,1.66048,2.28484,1.46854,0.40596,0.18765,0.1843,0.09511,1.87173,2.54605,1.62845,0.000725793,0.000725793,0.000725793
15,132.326,1.65083,2.242,1.4349,0.49798,0.21907,0.1911,0.10396,1.85627,2.39281,1.67581,0.000717546,0.000717546,0.000717546
